 seq 5429064:5429284, ack 3421, win 501, length 220
17:50:22.196110 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5429284:5429504, ack 3421, win 501, length 220
17:50:22.196167 IP lamponubuntu2004u-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5429504:5429724, ack 3421, win 501, length 220
17:50:22.196221 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5429724:5429944, ack 3421, win 501, length 220
17:50:22.196276 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5429944:5430164, ack 3421, win 501, length 220
17:50:22.196334 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5430164:5430384, ack 3421, win 501, length 220
17:50:22.196388 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5430384:5430604, ack 3421, win 501, length 220
17:50:22.196446 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5430604:5430824, ack 3421, win 501, length 220
17:50:22.196501 IP lamponubuntu2004u-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5430824:5431044, ack 3421, win 501, length 220
17:50:22.196555 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5431044:5431264, ack 3421, win 501, length 220
17:50:22.196614 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5431264:5431484, ack 3421, win 501, length 220
17:50:22.196669 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5431484:5431704, ack 3421, win 501, length 220
17:50:22.196723 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5431704:5431924, ack 3421, win 501, length 220
17:50:22.196778 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5431924:5432144, ack 3421, win 501, length 220
17:50:22.196832 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 5432144:5432364, ack 3421, win 501, length 220
